PartcipantID:1
RandID:1
InitialTimeStamp:22-08-50-217
block;trial;eventType;elapsedTime
1;0;InterProblemRest;0.075
1;1;Trial;0.156
1;1;ParticipantSkip;6.47
1;1;ParticipantAnswer;6.472
1;1;InterTrialRest;6.534
1;2;Trial;9.104
1;2;ParticipantSkip;15.812
1;2;ParticipantAnswer;15.814
1;2;InterTrialRest;15.876
1;3;Trial;18.441
1;3;ParticipantSkip;23.139
1;3;ParticipantAnswer;23.141
1;3;InterTrialRest;23.202
1;4;Trial;25.761
1;4;ParticipantSkip;32.099
1;4;ParticipantAnswer;32.101
1;4;InterTrialRest;32.163
1;5;Trial;34.711
1;5;ParticipantSkip;39.439
1;5;ParticipantAnswer;39.44
1;5;InterTrialRest;39.505
1;6;Trial;42.054
1;6;ParticipantSkip;45.28
1;6;ParticipantAnswer;45.282
1;6;InterTrialRest;45.341
1;7;Trial;47.907
1;7;ParticipantSkip;51.766
1;7;ParticipantAnswer;51.767
1;7;InterTrialRest;51.829
1;8;Trial;54.375
1;8;ParticipantSkip;58.404
1;8;ParticipantAnswer;58.406
1;8;InterTrialRest;58.467
2;0;InterBlockRest;61
2;1;Trial;63.06
2;1;ParticipantSkip;66.701
2;1;ParticipantAnswer;66.703
2;1;InterTrialRest;66.764
2;2;Trial;69.311
2;2;ParticipantSkip;81.468
2;2;ParticipantAnswer;81.469
2;2;InterTrialRest;81.532
2;3;Trial;84.084
2;3;ParticipantSkip;90.219
2;3;ParticipantAnswer;90.221
2;3;InterTrialRest;90.282
2;4;Trial;92.848
2;4;ParticipantSkip;97.76
2;4;ParticipantAnswer;97.761
2;4;InterTrialRest;97.823
2;5;Trial;100.379
2;5;ParticipantSkip;104.532
2;5;ParticipantAnswer;104.533
2;5;InterTrialRest;104.594
2;6;Trial;107.152
2;6;ParticipantSkip;116.119
2;6;ParticipantAnswer;116.121
2;6;InterTrialRest;116.183
2;7;Trial;118.74
2;7;ParticipantSkip;122.579
2;7;ParticipantAnswer;122.581
2;7;InterTrialRest;122.643
2;8;Trial;125.192
